imdb_id,title,release_year,runtime_minutes,genres,budget,revenue,ROI,imdb_rating,imdb_vote_count,original_language,production_companies,popularity,rec_director,rec_writer,star_power,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,historical_genre_roi,historical_director_roi,historical_writer_roi
tt6929642,Kaala,2018,162.0,"Action,Crime,Drama",20000000,22000000,0.1,6.5,11675.0,ta,Wunderbar Films,4.391,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.431790842257546,2.9572192513368982,2.9572192513368982
tt6931414,The Great Battle,2018,136.0,"Action,Drama,History",13305000,41509280,2.119825629462608,7.0,6944.0,ko,"Soojak Film, Next Entertainment World, Studio & New",14.975,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3155932844083957,,
tt6964554,Buy Me,2018,107.0,Drama,2000000,409913,-0.7950435,5.3,763.0,ru,"LOOKFILM STUDIO, Art Pictures Studio",6.466,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.538897695718708,,
tt6966692,Green Book,2018,130.0,"Biography,Comedy,Drama",23000000,319700000,12.9,8.2,700676.0,en,"Participant, DreamWorks Pictures, Cinetic Media",34.768,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.221489470454079,3.245925250000001,3.245925250000001
tt6981702,Empowered,2018,87.0,Comedy,3900000,4200000,0.0769230769230769,5.7,2793.0,es,"Atresmedia, Bowfinger, Mogambo Films, Movistar+, Sin Filtro la Película, Tornasol Films",4.914,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.090046279503272,0.2588236512148856,1.5366736
tt6998518,Mandy,2018,121.0,"Action,Fantasy,Horror",6000000,1214525,-0.7975791666666666,6.5,99506.0,en,"SpectreVision, XYZ Films, uMedia, Legion M, Piccadilly Pictures, Wallimage",15.291,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.982577788592896,,
tt7014006,Eighth Grade,2018,93.0,"Comedy,Drama",2000000,13539709,5.7698545,7.3,87383.0,en,"A24, Scott Rudin Productions",12.095,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81447198761099,,
tt7026672,Every Day,2018,97.0,"Drama,Fantasy,Romance",4900000,10421847,1.126907551020408,6.5,25970.0,en,"FilmWave, Likely Story, Silver Reel",9.493,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.8555757137430304,,
tt7040874,A Simple Favor,2018,117.0,"Comedy,Crime,Mystery",20000000,97644617,3.88223085,6.7,191672.0,en,"Feigco Entertainment, Bron Studios",15.712,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.479278685043724,1.6084681421474358,3.486394526315789
tt7064498,Return of the Hero,2018,90.0,"Comedy,History",10800000,7362730,-0.3182657407407407,6.5,5005.0,fr,"JD Prod, Les Films sur Mesure, France 3 Cinéma, Nexus Factory, GV Prod, Canal+, Ciné+, La Banque Postale Image 11, uFund, France Télévisions, uMedia",8.264,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5727330046771733,,
tt7074886,The Front Runner,2018,113.0,"Biography,Drama,History",25000000,3242235,-0.8703106,6.1,15131.0,en,"Bron Studios, Right of Way Films, Creative Wealth Media Finance, Stage 6 Films, Columbia Pictures",12.654,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.209947287236679,,
tt7095482,The Candidate,2018,132.0,"Drama,Mystery,Thriller",4552700,1932261,-0.5755791069035957,7.1,10407.0,es,"Atresmedia, Le Pacte, Movistar+, Tornasol Films, Trianera Producciones Cinematográficas, A.I.E, Bowfinger, Film Stock Investment, Mondex & cie, Latido Films",7.341,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.8094179720276875,-0.6003540000000002,-0.6003540000000002
